,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
6915,Southern University of Science and Technology,Southern Taiwan University of Science and Technology,93,93
7670,Southern University of Science and Technology,Jordan University of Science and Technology,91,82
8455,Southern University of Science and Technology,Missouri University of Science and Technology,91,80
9691,Southern University of Science and Technology,Southwest University of Science and Technology,95,95
257,Chaoyang University of Technology,Shandong University of Technology,91,82
1889,Chaoyang University of Technology,Choayang University of Technology,97,97
1008,South Dakota State University,North Dakota State University,93,93
4633,University of Wales,University of Wales,100,100
6232,Shandong University of Finance and Economics,Shanxi University of Finance and EcoNomics,93,93
568,Western University,University of Western,51,92
618,Western University,Webster University,94,94
2574,Western University,Western University,100,100
9282,Audencia Business School,Audencia Business School,100,100
2074,PricewaterhouseCoopers,PricewaterhouseCoopers LLP,92,92
2326,PricewaterhouseCoopers,PricewaterhouseCoopers,100,100
2964,PricewaterhouseCoopers,Pricewaterhouse Coopers,98,67
3682,PricewaterhouseCoopers,PricewaterhouseCoopers (PwC),88,92
3771,PricewaterhouseCoopers,PricewaterhouseCoopers,100,100
5109,PricewaterhouseCoopers,PricewaterhouseCoopers,100,100
6074,PricewaterhouseCoopers,PricewaterhouseCoopers LLP,92,92
6329,PricewaterhouseCoopers,PricewaterhouseCoopers NV,94,94
598,University of Science and Technology,Guangdong University of Science & Technology,82,92
686,University of Science and Technology,Wegian University of Science and Technology,91,91
7717,Hanyang University,Hainan University,91,91
6260,University of Cincinnati,University of Cincinnat,98,98
7509,Ulsan National Insititute of Science and Technology,Ulsan National Institute of Science and Technology,99,99
4335,School of Information Management,School of Information Management,100,100
7163,Karlsruhe Institute of Technology (KIT),Kalsruhe Institute of Technology (KIT),99,99
2754,Rhodes University,Rhodes University,100,100
5116,National University,National Universitym,97,97
9822,In-Ha University,Hainan University,85,91
7914,Tshwane University Of Technology,Isfahan University of Technology,91,75
7959,Tshwane University Of Technology,Shaanxi University of Technology,91,75
9451,Southern University,Southern University,100,100
594,Mississippi State University,Mississipi State University,98,98
5787,Information Systems,Information Systems (IS,90,93
8979,Information Systems,Information Systems,100,100
1399,Miami University,University of Miami,57,91
5498,Computing Trends,Computing Trends,100,100
3385,Dell EMC,Dell EMC,100,100
5372,Shaanxi University of Technology,Sharif University of Technology,92,92
1972,SAP (Switzerland) Inc.,SAP (Switzerland) Inc.,100,100
6037,Dickson Computer Systems,Dickson Computer System,98,98
7684,Dickson Computer Systems,Dickson Computer Systems,100,100
1585,Fuzhou University,Suzhou University,94,94
1699,Fuzhou University,Chuzhou University,91,91
1310,Faculty of Business and Management,Faculty of Business and Public Management,91,91
1331,SAP (Switzerland) Inc.,SAP (Switzerland) Inc.,100,100
4289,SAP (Switzerland) Inc.,SAP (Switzerland) Inc.,100,100
8501,School of Business,School of Business,100,100
8550,School of Business,School of Business,100,100
9784,Tianjin University of Technology,Tainan University of Technology,92,76
7012,Management Center Innsbruck,MCI Management Center Innsbruck,93,93
4369,Colorado State University,Colorado State University,100,100
5697,Neurologische Klinik Der Rhön Kliniken Bad-Neustadt/Saale,Neurologische Klinik Der Rhön-Klinken Bad Neustadt/ Saale,95,99
5514,Hoseo University,Hanseo University,91,91
4944,Kean University,Kean University,100,100
4922,Northeastern University China,Northwest University China,91,91
2218,Kyungnam University,Kangnam University,92,92
7431,University of Colorado at Denver,University of Colorado Denve,93,93
2884,Yuhan College,Yuhan College,100,100
