,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
646,Universität Liechtenstein,UNIVERSITAT LIECHTENSTEIN,96,98
1102,Shri Shankaracharya Institute of Technology and Management,Shri Shakaracharya Institute of Technology and Management,99,99
5096,Tarleton State University,Dalton State University,92,71
817,University of Miami School of Business Administration,University of Michigan's School of Business Administration,92,92
2082,University of Miami School of Business Administration,University of Michigan School of Business Admznistration,92,92
9594,Centro de Investigación y Docencia Económicas (CIDE),Centro de Investigación y Docencia Económicas (CIDE,99,100
1711,University of Michigan's School of Business Administration,School of Business Administration at the University of Michigan,55,93
6562,Dalton State College,Dalton State College,100,100
306,Audencia Nantes School of Management,Audencia Nantes School of Management,100,100
5205,Development Research Center,Research and Development Center,62,93
518,Telecom Business School,TELECOM Business School,100,100
4279,KERN Global Language Services,KERN Global Language Services,100,100
3176,South China University of Technology,China University of Technology,91,91
4180,South China University of Technology,China University of Technology,91,91
5090,South China University of Technology,China University of Technology,91,91
8481,South China University of Technology,North China University of Technology,94,86
2359,Università degli Studi di Milano,Università degli Studi di Torino,91,77
2934,Università degli Studi di Milano,Università degli Studi di Camerino,91,75
5003,National University,National University,100,100
5172,National University,National Universitym,97,97
7143,Southern University,University of Southern,49,93
2522,Auburn University,University of Auburn,54,92
2527,University of Tartu,University of Art,94,78
5845,University of Central Arkansas,University of Central Arkansas,100,100
7997,University of Central Arkansas,University of Central Arkansas,100,100
9701,Telecom Ecole de Management,Telecom Ecole de Management,100,100
3893,Hebei University of Technology,Hubei University of Technology,97,97
3387,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich Alexander University of Erlangen-Nurenberg,87,93
6819,University of Bedfordshire,University of Hertfordshire,91,91
145,Wuhan University,Yuhan University,94,94
5441,Korea Advanced Institute of Science & Technology,Korea Institute of Science and Technology,85,94
8005,Lloyd's Register,Lloyds Register,97,90
5190,School of Business,School of Business,100,100
5899,School of Business,Business School,48,91
8533,School of Business,School of Business,100,100
9434,School of Business,School of Business,100,100
9966,School of Business,School of Business,100,100
1224,Georgia College & State University,North Georgia College & State University,92,91
9641,"Capital Group Companies, Inc.",Capital Group Companies Inc,96,100
4182,Snitker and Co.,Snitker and Co,97,100
4367,Liechtenstein University,University of Lichtenstein,48,92
5145,Liechtenstein University,Liechtenstein University,100,100
6318,Liechtenstein University,Universität Liechtenstein,53,96
7030,Liechtenstein University,UNIVERSITAT LIECHTENSTEIN,53,94
9491,Liechtenstein University,University of Liechtenstein,51,94
9994,Liechtenstein University,University of Liechtenstein,51,94
1882,Università degli Studi di Brescia,Università degli Studi di Siena,91,77
7017,Carnegie Mellon Univerity,University of Carnegie Mellon,56,93
6863,Peking University,King University,94,94
1566,American University,American University,100,100
6761,University of North Alabama,University of South Alabama,93,81
8769,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
8790,Toyota InfoTechnology Center,"Toyota InfoTechnology Center, Inc.",90,93
493,Henan University,Hainan University,91,91
5841,Changchun Institute of Technology,ChungChou Institute of Technology,94,94
8129,Uninettuno University,Nettuno University,92,92
4822,University of San Diego,San Diego University,47,93
4976,University of San Diego,San Diego University,47,93
1113,Business School,School of Business,48,91
2014,Business School,School of Business,48,91
2546,Business School,School of Business,48,91
2595,Business School,School of Business,48,91
6205,Saint Joseph's University,Saint John’s University,88,92
4094,Technical State University,Technical State University,100,100
6266,Vanung University,HanJung University,91,57
84,Xi'an University of Technology,Tainan University of Technology,92,79
892,"Chung-Ang University, College of Medicine","Soonchunhyang University, College of Medicine",91,71
8950,Graduate School of Business Administration,Darden Graduate School of Business Administration,92,92
2614,Loyola University,Loyola University,100,100
3541,Loyola University,Loyola University,100,100
9290,Cullen Group,Cullen Group,100,100
9389,University of Rhode Island,University of Rohde Island,96,96
1145,Andersen Consulting,Andersen Consulting,100,100
1623,University of International Business and Economics,University of International Business and Economy,96,96
1999,School of Business Administration,School of Business Administration,100,100
7353,School of Business Administration,School of Business Administration,100,100
2799,Price Waterhouse UP,Price Waterhouse,91,91
6170,Price Waterhouse UP,Price Waterhouse,91,91
6192,Price Waterhouse UP,Price Waterhouse,91,91
984,Naval Academy,Naval Academy,100,100
8892,Kansas State University,Arkansas State University,96,96
1023,Changchun University of Science and Technology,China University of Science and Technology,91,91
1567,Changchun University of Science and Technology,Anhui University of Science and Technology,93,93
2715,Changchun University of Science and Technology,Chang Gung University of Science and Technology,95,95
7354,Hansung University,Vanung University,91,57
7655,Hansung University,HanJung University,94,94
7488,College of Business Administration,College of Business Administration,100,100
1727,Fudan University,Fudan Universit,97,97
3910,Georgia State University,Emporia State University,92,92
5236,Jinwen University of Science and Technology,Wegian University of Science and Technology,93,84
6154,Jinwen University of Science and Technology,Norwegian University of Science and Technology,92,92
6158,Jinwen University of Science and Technology,Norwegian University of Science and Technology,92,92
2373,Université Laval,Laval University,56,97
4814,Université Laval,Université Laval,100,100
8500,ID Research,ID Research,100,100
8831,Yuanpei University of Science and Technology Taiwan,Yuan-Pei University of Science and Technology,92,85
9997,King University,Kunming University,91,91
5497,Norwegian School of IT,Norwegian School of IT,100,100
851,Harbin Normal University,Hainan Normal University,92,92
3400,Zhongyuan University of Technology,Hunan University of Technology,91,75
7517,Zhongyuan University of Technology,Dongguan University of Technology,93,72
144,Università degli Studi di Bari,Università degli Studi di Cagliari,91,90
337,Università degli Studi di Bari,Università degli Studi di Camerino,91,90
1442,Università degli Studi di Bari,Università degli Studi di Sassari,92,79
5570,European Patent Office,European Patent Office,100,100
4514,Steria Mummert Consulting AG,Steria Mummert Consulting AG,100,100
4543,University of North,Northern University of,63,93
2007,Ernst and Young Denmark,Ernst and Young Denmark,100,100
5409,EMC Corporation,NEC Corporation,93,93
1062,Hannam University,Honam University,91,91
1150,Hannam University,Kangnam University,91,91
6517,King Saud University,King Saud University,100,100
5014,Univ of,Univ of,100,100
6075,Ruppin Academic Center,Ruppin Academic Center,100,100
3132,Lebanon Valley College,Lebanon Valley College,100,100
6938,W. P. Carey School of Business,W. P. Carey School of Business,100,100
9574,Brown University,Rowan University,94,94
2641,Software AG,GX Software,73,91
2897,Far East Data Limited,Far East Data Limited,100,100
747,Parkland Center for Clinical Innovation,Parkland Center for Clinical Innovation,100,100
2902,Institute of Information Systems,Institute of Information Systems,100,100
3618,Institute of Information Systems,Institute of Information Systems,100,100
4186,Institute of Information Systems,ISI - Information Systems Institute,72,92
5232,Institute of Information Systems,Institute for Information Systems,95,89
3583,Hashemite University,Hashemite University,100,100
7567,Anhui University of Science and Technology,Hebei University of Science and Technology,93,93
7611,Anhui University of Science and Technology,Yuan-Pei University of Science and Technology,92,83
8415,Anhui University of Science and Technology,University of Science and Technology of Chi,85,92
9196,Anhui University of Science and Technology,Taiyuan University of Science and Technology,91,84
9598,Anhui University of Science and Technology,Wegian University of Science and Technology,92,85
8499,Northeastern State University,Northwestern State University,97,97
9413,University of the Incarnate Word,University of the Incarnate Work,97,97
4180,World Organisation of Systems and Cybernetics,World Organisation of Systems and Cybernetics,100,100
6447,Ghana Institute of Management and Public Administration,Ghana Institute of Management and Public Administration,100,100
661,Jordan University of Science and Technology,Norwegian University of Science and Technology,92,92
665,Jordan University of Science and Technology,Norwegian University of Science and Technology,92,92
7607,Ernst and Young LLP,Ernst and Young LLP,100,100
1987,Xiamen University,Xiamen Universtiy,94,94
4354,Suzhou University,Chuzhou University,91,91
6735,UNSW Business School,NUS Business School,92,77
3602,University of Manchester,University of Mönster,89,91
2749,Ulsan National Institute of Science and Technology,Ulsan National Insititute of Science and Technology,99,99
9243,Ulsan National Institute of Science and Technology,Ulsan National Institute of Science and Technology,100,100
2604,Southern University and A&M College,Southern University and AandM College,94,92
1949,Senacor Technologies AG,Senacor Technologies AG,100,100
6302,Wayne State University,Woyne State University,95,95
715,Anderson Consulting,Andersen Consulting,95,95
1285,Brigham Young University,Brigham Younjj University,94,94
1970,Yu Da University,Da-Yeh University,79,91
3193,Wichita State University,Wichita State University,100,100
8667,Deloitte and Touche LLP,Deloitte and Touche LLP,100,100
5033,Hang Seng Management College,Hang Seng Management College,100,100
422,"Konyang University, College of Medicine","Korea University, College of Medicine",92,92
1840,"Konyang University, College of Medicine","Inha University, College of Medicine",91,90
9962,City University Business School,University Business School,91,91
8932,Dalian University,Diwan University,91,91
1358,Incheon National University,Sunchon National University,93,70
2342,Information Systems,Information Systems,100,100
6709,Indian School of Business,Indian School of Business,100,100
4487,Zeppelin University,Zeppelin Universität,92,95
5485,KEDGE Business School,KEGDE Business School.,93,95
8164,"Capital Group Companies, Inc.","Capital Group Companies, Inc.",100,100
7259,Innovative Management Partner (IMP),Innovative Management Partner,91,94
6048,Carnegie Mellon Unveristy,Carnegie Mellon Univerity,96,96
2305,Florida Gulf Coast University,FL Gulf Coast University,91,91
4701,Open University,Open University,100,100
2650,Loughborugh University,Loughborough University,98,98
4664,Loughborugh University,Loughboroughx University,96,96
5715,Loughborugh University,University of Loughborough,46,92
8392,Loughborugh University,Loughborough Universiry,93,93
3016,Copenhagen Business School,Copenhagen Busness School,98,98
3542,Deloitte Services LP,Deloitte Services LP,100,100
7469,Deloitte Services LP,Deloitte Services LP,100,100
9071,Deloitte Services LP,Deloitte Services,92,92
5971,Northeast Normal University,Northwest Normal University,96,96
8160,Athabasca University,Athabasca University,100,100
540,City University Business School,University Business School,91,91
1493,City University Business School,City University Business School,100,100
1691,City University Business School,City University Business School U.K,94,94
1756,City University Business School,City University Business School,100,100
1170,Texas A and M University - Corpus Christi,Texas AandM University-Corpus Christi,95,95
5342,General Hospital Celje,General Hospital Celje,100,100
6091,Park University,University Pk,71,93
1495,York University,York University,100,100
1758,York University,York University,100,100
2237,York University,York University,100,100
3240,York University,York University,100,100
5224,York University,York University,100,100
2222,University of Central,University of Centra,98,98
2739,University of Central,University of Central,100,100
6414,Faculty of Business,Faculty of Business,100,100
3753,Chungbuk National University,Chunkbuk Natrional Unviersity,91,91
5877,University of International Business and Economics,"University of International Business and Economics, Beijing",92,93
8810,University of International Business and Economics,University of International Business and Economics in China,92,92
9641,University of International Business and Economics,Shanghai University of International Business and Economics,92,92
6199,The University of Georgia,University of Georgia,91,91
8748,The University of Georgia,University of Georgia,91,91
4221,College of Business,College of Business,100,100
2971,Alibaba Group,Alibaba Group,100,100
5171,Alibaba Group,Alibaba Group,100,100
3454,InSites Consulting,InSites Consulting,100,100
4091,InSites Consulting,InSites Consulting,100,100
9250,S and P Consulting,P and Q Consulting,89,94
9597,S and P Consulting,S and P Consulting,100,100
859,Alabama A and M University,Alabama AandM University,96,80
3568,National Yunlin University of Science and Technology,National Pingtung University of Science and Technology,91,85
3569,National Yunlin University of Science and Technology,National Taiwan University of Science and Technology,92,87
9614,Alibaba Group,Alibaba Group,100,100
3068,West Chester University,West Chester University,100,100
7565,Rennes School of Business,ESC Rennes School of Business,93,93
7574,Rennes School of Business,ESC Rennes School of Business,93,93
7442,InSites Consulting,InSites Consulting,100,100
4272,Towson University,Towson University,100,100
1788,Institute of Information Systems,Institute of Information Systems,100,100
2356,Institute of Information Systems,ISI - Information Systems Institute,72,92
3402,Institute of Information Systems,Institute for Information Systems,95,89
8252,Harbin University of Science and Technology,Southern University of Science and Technology,91,82
8494,Harbin University of Science and Technology,AGH University of Science and Technology,92,89
8577,Harbin University of Science and Technology,Cochin University of Science and Technology,93,93
8903,Harbin University of Science and Technology,University of Science and Technology,91,91
9480,Harbin University of Science and Technology,Shandong University of Science and Technology,91,82
9576,Harbin University of Science and Technology,Wuhan University of Science and Technology,94,85
9646,Harbin University of Science and Technology,Takming University of Science and Technology,92,83
5084,Telecom Ecole de Management,Télécom Ecole de Management (TEM),83,93
5502,Telecom Ecole de Management,Telecom Ecole de Management,100,100
1032,University of Science and Technology of China,East China University of Science and Technology,78,93
1948,University of Science and Technology of China,Changsha University of Science and Technology,80,91
2026,University of Science and Technology of China,Hunan University of Science and Technology,83,92
2117,University of Science and Technology of China,Harbin University of Science and Technology,82,91
2472,University of Science and Technology of China,Cochin University of Science and Technology,82,93
5533,University of Science and Technology of China,China University of Science and Technology,83,97
6970,University of Science and Technology of China,University of Science and Technology of Chi,98,98
7372,University of Science and Technology of China,Chien Hsin University of Science and Technology,78,91
575,Texas A and M International University,Texas AandM International University,97,95
1379,Texas A and M International University,Texas A and M International University,100,100
1742,Texas A and M International University,Texas A and M International University,100,100
7271,Fudan University,Fuan University,97,97
4847,Claremont Graduate University,Claremont Graduate University,100,100
1159,Verizon Laboratories,Verizon Laboratories,100,100
9113,Det Norske Veritas Pty Ltd,Det Norske Veritas Pte Ltd,96,96
2263,Nova Southeastern University,Nova South Eastern University,98,74
2249,Templeton College,Templeton College,100,100
7551,Jordan University of Science and Technology,Xi'an University of Science and Technology,92,89
7667,Jordan University of Science and Technology,Anhui University of Science and Technology,92,92
7796,Jordan University of Science and Technology,Jinwen University of Science and Technology,91,91
9743,Jordan University of Science and Technology,Wegian University of Science and Technology,91,84
1434,LR University,University Rd,77,92
9689,Universiti of Kuala Lumpur,Universiti Kuala Lumpur,94,94
1120,D.A.T.A. Corporation,D.A.T.A. Corporation,100,100
1667,Georgetown University,Georgetown University,100,100
273,University of Nebraska,Unversity of Nebraska,98,98
7172,Korea Automotive Technology Lnstitute,Korea Automotive Technology Institute,97,81
5595,VU University Medical Center,Duke University Medical Center,93,86
8629,VU University Medical Center,University Medical Center,94,94
1594,University of Cape Town,Cape Town University,47,93
202,National Chung Cheng University,National Chengchi University,88,92
4705,National Chung Cheng University,National Chung-Chen University,95,98
7340,National Chung Cheng University,National Chun Chen University,97,97
4817,Indian Institute of Management Raipur,Indian Institute of Management Kashipur,95,79
3030,University of Massachusetts,University of Masachusetts,98,98
8300,University of Massachusetts,University of Massachusetts,100,100
957,University of Wales,University of Wales,100,100
3487,University of Malta,University of Malta,100,100
6032,University of Malta,University of Malawi,92,92
7525,University of Tasmania,University of Tasmania,100,100
1196,IBM,IBM,100,100
2085,IBM,IBM,100,100
5931,IBM,IBM,100,100
7028,IBM,IBM,100,100
9707,European Business School (Ebs,European Business School (EBS,100,100
6980,University of Science and Technology of Suzhou,University of Science and Technology of Chi,92,88
2948,University of Applied Sciences,University of Applied Sciences,100,100
4353,University of Applied Sciences,Harz University of Applied Sciences,92,92
4462,University of Applied Sciences,Avans University of Applied Sciences,91,91
5132,University of Applied Sciences,FOM University of Applied Sciences,94,94
5543,University of Applied Sciences,University of Applied Sciences (FH),92,95
6062,University of Applied Sciences,University of Applied Sciences,100,100
2146,Zhejiang Normal University,Neijiang Normal University,92,65
9866,Tung Wah College,Tung Wah College,100,100
2154,National Chengchi University,National Chun Chen University,88,91
3679,Morgan State University,Oregon State University,91,91
8083,Morgan State University,Morgan State University,100,100
3245,University of Florida College of Medicine,Florida State University College of Medicine,71,92
4978,Robert H. Smith School of Business,Robert H. Smith School of Business,100,100
6465,ESSEC Business School,IESE Business School,93,93
9814,ESSEC Business School,ESSCA Business School,95,95
5423,Ryerson University,Ryerson University,100,100
3408,Concordia University,Concordia University,100,100
4362,Concordia University,Concordia University,100,100
4456,Concordia University,Concordia University,100,100
4740,Concordia University,Université Concordia,45,97
7404,University of the West Indies,University of the West Indies,100,100
7734,University of the West Indies,University of the West Indie,98,98
2474,ACM Education Board,ACM Education Board,100,100
239,School of Management,School of Management,100,100
691,School of Management,School Management,92,92
805,School of Management,School of Management,100,100
8291,Madonna University,Anna University,91,91
4975,Graduate School of Business,Graduate School of Business,100,100
757,Ministry of Finance,Ministry of Finance,100,100
1237,Ministry of Finance,Ministry of Finance,100,100
1768,Ministry of Finance,Ministry of Finance,100,100
4401,Universitat Oberta de Catalunya,Universitat Oberta of Catalunya,94,90
4522,North China Grid Company Limited,North China Grid Company Limited,100,100
3484,HealthPartners,Health Partners,97,97
4022,Information Systems,Information Systems,100,100
5593,Information Systems,Information Systems,100,100
6983,Information Systems,Information Systems (IS,90,93
8141,Arizona State University,Arizona State University West,91,91
1234,Xi'an University of Science and Technology,Taiyuan University of Science and Technology,93,84
1636,Xi'an University of Science and Technology,Wegian University of Science and Technology,94,89
2554,Xi'an University of Science and Technology,Norwegian University of Science and Technology,91,86
2558,Xi'an University of Science and Technology,Norwegian University of Science and Technology,91,86
2636,Xi'an University of Science and Technology,Mongolian University of Science and Technology,91,86
4335,Donghae University,Dong-A University,91,86
4872,Donghae University,Donghua University,94,94
2082,Yunnan Branch of China Development Bank,Yunnan Branch of China Development Bank,100,100
1353,Tennessee State University,East Tennessee State University,91,91
8228,Tennessee State University,East Tennessee State University,91,91
2254,Institute for Information Business,Institute for Business Informatics,71,94
6770,Universidad de las Américas Puebla,Universidad de Las Americas Puebla,97,99
8082,Dexia Group,Dexia Group,100,100
57,University of Applied Science Hof,University of Applied Sciences,92,92
230,University of Applied Science Hof,University of Applied Sciences,92,92
648,University of Applied Science Hof,University of Applied Sciences,92,92
2053,University of Applied Science Hof,Harz University of Applied Sciences,85,91
2832,University of Applied Science Hof,FOM University of Applied Sciences,87,93
3243,University of Applied Science Hof,University of Applied Sciences (FH),91,94
3762,University of Applied Science Hof,University of Applied Sciences,92,92
136,Norwegian School of Information Technology,Norwegian School of Information Technology,100,100
7538,Jiangsu University of Technology,Zhejiang University of Technology,92,74
4973,Bureau of Traffic Services,Bureau of Traffic Services,100,100
5287,Chung-Ang University,Chang'an University,87,92
6669,Nan Kai University of Technology,Kaunas University of Technology,89,92
9450,Nan Kai University of Technology,Nagaoka University of Technology,91,84
4772,Mason School of Business,Simon School of Business,92,75
8713,University of Innsbruck,University of Insbruk,95,95
2714,Columbia College,Columbia College SC,91,91
2785,Dartmouth College,1Dartmouth College,97,51
699,Mok-po National University,Mokpo National University,98,90
1567,School of Computing,School of Computing,100,100
118,Harz University of Applied Sciences,University of Applied Sciences,92,92
8236,IBM and MIT,IBM and MIT,100,100
2688,Grenoble Ecole de Management,Grenoble Ecole de Management,100,100
4620,University of Applied Sciences,University of Applied Sciences,100,100
5038,University of Applied Sciences,University of Applied Sciences,100,100
6443,University of Applied Sciences,Harz University of Applied Sciences,92,92
6552,University of Applied Sciences,Avans University of Applied Sciences,91,91
7222,University of Applied Sciences,FOM University of Applied Sciences,94,94
7633,University of Applied Sciences,University of Applied Sciences (FH),92,95
8152,University of Applied Sciences,University of Applied Sciences,100,100
5104,Templeton College,Templeton College,100,100
5124,Templeton College,Templeton College,100,100
6647,Templeton College,Templeton College,100,100
9103,Templeton College,Templeton College,100,100
6046,National Institute for Mathematical Sciences,National Institute for Mathematical Sciences,100,100
6764,National Institute for Mathematical Sciences,National Institute for Mathematical Sciences (NIMS),93,95
1114,Det Norske Veritas Pty Ltd,Det Norske Veritas Pty Ltd,100,100
4239,Cranfield University,Cranfeld University,97,97
4606,University of,University of,100,100
5906,California State University,California State University,100,100
5044,Ghana Institute of Management and Public Administration (GIMPA),Ghana Institute of Management and Public Administration,93,95
8342,Ghana Institute of Management and Public Administration (GIMPA),Ghana Institute of Management and Public Administration,93,95
4466,Vellore Institute of Technology,Melbourne Institute of Technology,91,72
1489,University of Georgia,University of Georgia,100,100
4120,University of Georgia,University of Ceorgia,95,95
8025,Norwegian School of Information Technology,Norwegian School of Information Technology (NITH),92,94
8570,Norwegian School of Information Technology,The Norwegian School of Information Technology,95,95
5443,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,91,83
315,University of Innsbruck,University of Innsbruck,100,100
473,University of Innsbruck,University of Insbruk,95,95
1259,Institute of Design Optimization Inc.,Institute of Design Optimization Co.,96,90
8543,Institute for Engaged Business Research,Institute of Engaged Business Research,96,91
8458,Centro de Investigacion y Docencia Economicas A.C.,Centro de Investigación Y Docencias Económicas,90,92
8294,A'Sharqiyah University,ASharqiyah University,98,98
3737,ICAEW,ICAEW,100,100
4093,University of Pretoria,University of Pretoria,100,100
4658,Durban University of Technology,Dongguan University of Technology,91,91
58,Terry College of Business,Terry College of Business,100,100
4860,Terry College of Business,Terry College of Business,100,100
4435,Ministry of Finance,Ministry of Finance,100,100
4966,Ministry of Finance,Ministry of Finance,100,100
4265,University of Southern Mississippi,University of Southern Mississppi,99,99
8749,Dongyang Mirae University,Dongyang Mirae University,100,100
5281,University of Missouri System,University of Missouri-St,89,93
8475,University of Leicester,University of Chester,91,91
401,Dickson Computer System,Dickson Computer Systems,98,98
8117,School of Management,School Management,92,92
8575,School of Management,School of Management,100,100
1904,Duke University Medical Center,University Medical Center,91,91
9004,Mercer University,Mercer University,100,100
9667,Mercer University,Mercer University,100,100
3292,Lebanese International University,Lebanese International University,100,100
1790,Second Xiangya Hospital of Central-South University,Xiangya Hospital of Central-south University,93,93
3568,Trent University,Trident University,94,94
34,School of Management,School of Management,100,100
486,School of Management,School Management,92,92
600,School of Management,School of Management,100,100
586,Best Practice Consulting AG,Best Practice Consulting AG (BPC),90,93
4763,National Chengchi University,National Chung Cheng University,88,92
5016,National Chengchi University,National Chengchi University,100,100
7817,National Chengchi University,National Chengci University,98,98
3983,Università degli Studi di Padova,Università degli Studi di Pavia,95,95
4873,Università degli Studi di Padova,Università degli Studi di Parma,92,92
6150,Università degli Studi di Padova,Università degli Studi di Genova,91,90
3316,Innsbruck University School of Management,Innsbruck University School of Management,100,100
3701,Innsbruck University School of Management,Innsbruck University School of Management,100,100
120,Pricewaterhouse Coopers,PricewaterhouseCoopers,98,67
1340,Pricewaterhouse Coopers,PricewaterhouseCoopers NV,92,67
8592,Chungbuk National University,Chonbuk National University,95,95
3149,Independent Consultant,Independent Consultant,100,100
8324,Ernst and Young,Ernst and Young,100,100
8624,Ernst and Young,Ernst and Young,100,100
8779,Ernst and Young,Ernst and Young,100,100
5550,National Chung-Chen University,National Chun Chen University,95,98
3641,Intellectual Capital Services Ltd.,Intellectual Capital Services Ltd,99,100
7146,Stevens Institute of Technology,Stevens Institute of Technology,100,100
3566,National Kaohsiung First University of Science and Technology,National Kaohsiung First University of Science and Technology,100,100
5694,School of Information,Information School,56,92
7253,US Department of Homeland Security,U.S. Department of Homeland Security,97,96
2898,Shri Sankaracarya Institute of Management and Technology,Shri Shankaracarya Institute of Technology and Management,73,99
4074,Shri Sankaracarya Institute of Management and Technology,Shri Shakaracharya Institute of Technology and Management,71,97
6391,University of Limerick,University of Limerick,100,100
7238,University of Limerick,University of Limerick,100,100
6725,University of Georgia,University of Ceorgia,95,95
571,Rennes School of Business,Rennes School of Business,100,100
2846,Rennes School of Business,ESC Rennes School of Business,93,93
2855,Rennes School of Business,ESC Rennes School of Business,93,93
1877,New Jersey Institute of Technology,Jersey Institute of Technology,94,94
4708,New Jersey Institute of Technology,Newjersey Institute Of Technology,99,90
8865,Haiching Vocational High School of Technology and Commerce,Haicing Vocational High School of Technology and Commerce,99,99
4251,Institut de réadaptation en déficience physique de Québec,Institut de réadaptation en déficience physique de Queébec,99,99
3762,Mercer University,Mercer University,100,100
4748,University of San Francisco,University of San Fransciso,96,96
439,Harbin University of Science and Technology,Namibia University of Science and Technology,92,92
725,Harbin University of Science and Technology,Jordan University of Science and Technology,91,91
1433,Harbin University of Science and Technology,University of Science and Technology Liaoning,82,91
1638,Harbin University of Science and Technology,China University of Science and Technology,94,94
2066,Harbin University of Science and Technology,Xi'an University of Science and Technology,92,89
2182,Harbin University of Science and Technology,Anhui University of Science and Technology,92,92
2227,Harbin University of Science and Technology,Hebei University of Science and Technology,94,94
2311,Harbin University of Science and Technology,Jinwen University of Science and Technology,91,91
3075,Harbin University of Science and Technology,University of Science and Technology of Chi,84,91
3856,Harbin University of Science and Technology,Taiyuan University of Science and Technology,92,83
4258,Harbin University of Science and Technology,Wegian University of Science and Technology,91,84
1472,BeoringPoint GmbH,BearingPoint GmbH,94,94
9442,Technische Universität Mönchen,Technische Universitï¿½t Mï¿½nchen,88,100
3779,Univ. B.,Univ. B.,100,100
8151,Texas AandM International University,Texas A and M International University,97,95
8514,Texas AandM International University,Texas A and M International University,97,95
9120,Addis Ababa University,Addis Ababa University,100,100
9747,"European Commission Joint Research Centre, Ispra","European Commission, Joint Research Centre",91,93
638,University Business School,City University Business School,91,91
901,University Business School,City University Business School,91,91
5286,John Holland Group Pty. Ltd.,John Holland Group Pty Ltd,96,100
1967,Technical University,Technological University,91,91
9876,INSEAD,INSEAD,100,100
1743,Concordia University,Concordia University,100,100
2027,Concordia University,Université Concordia,45,97
9415,Seowon University,Suwon University,91,91
487,"Toyota InfoTechnology Center, Inc.",Toyota InfoTechnology Center,90,93
2968,"Toyota InfoTechnology Center, Inc.",Toyota InfoTechnology Center,90,93
4935,Kunming University of Science and Technology,Jiangsu University of Science and Technology,91,91
5038,Kunming University of Science and Technology,Qingdao University of Science and Technology,91,86
5072,Kunming University of Science and Technology,Hunan University of Science and Technology,93,93
6517,Kunming University of Science and Technology,Wuhan University of Science and Technology,91,84
6587,Kunming University of Science and Technology,Takming University of Science and Technology,95,82
7380,Kunming University of Science and Technology,Namibia University of Science and Technology,91,91
7967,Kunming University of Science and Technology,Chongqing University of Science and Technology,91,91
8374,Kunming University of Science and Technology,University of Science and Technology Liaoning,81,92
8579,Kunming University of Science and Technology,China University of Science and Technology,91,91
9007,Kunming University of Science and Technology,Xi'an University of Science and Technology,91,86
9123,Kunming University of Science and Technology,Anhui University of Science and Technology,91,91
4664,Claremont Graduate University,Claremont Graduate University,100,100
6921,Claremont Graduate University,Claremont Graduate University,100,100
8679,University of Manchester,University of Chester,93,93
8809,University of Manchester,University of Winchester,92,54
456,KC University,University Pk,77,92
5853,Norwegian Sch. Mgmt.,Norwegian Sch. Mgmt.,100,100
2852,National Information and Communications Technology Australia,National Information and Communications Technology,91,91
171,National Institute for Mathematical Sciences,National Institute for Mathematical Sciences,100,100
5486,University of La Verne,University of La Verne,100,100
5475,China University of Technology,Tainan University of Technology,92,82
5591,China University of Technology,Hunan University of Technology,93,93
6041,China University of Technology,Chongqing University of Technology,91,91
6090,China University of Technology,China University of Technology,100,100
9481,China University of Technology,North China University of Technology,91,91
3499,Infosys Ltd,Infosys Ltd.,96,100
4300,USTC-CityU Joint Advanced Research Center,USTC-CityU Joint Advanced Research Center,100,100
4824,USTC-CityU Joint Advanced Research Center,USTC-CityU Joint Advanced Research Centre,98,98
5087,USTC-CityU Joint Advanced Research Center,USTC-CityU Joint Advanced Research Center,100,100
5630,USTC-CityU Joint Advanced Research Center,USTC-CityU Advanced Research Center,92,92
8066,Information and Decision Systems,Decision and Information Systems,66,100
531,European Business School,European Business School (EBS,91,92
1437,European Business School,European Business School (Ebs,91,92
2372,European Business School,European Business School (EBS,91,92
8252,Università degli Studi di Brescia,Università degli Studi di Bari,92,92
8417,Università degli Studi di Brescia,Università degli Studi di Messina,91,75
9036,"Kimley-Horn and Associates, Inc.","Kimley-Horn and Associates, Inc.",100,100
4887,Baan Development,Baan Development,100,100
6981,Cameron University,Cameron University,100,100
1156,Thomas University,Thomas University,100,100
1992,Uninettuno University,Nettuno University,92,92
8336,Software AG,GX Software,73,91
2425,Virginia Institute of Psychiatric and Behavioral Genetics,Virginia Institute for Psychiatric and Behavioral Genetics,97,94
3140,Shri Shankaracharya College of Engineering and Technology,Shri Shankaracharya College of Engineering and Technology,100,100
9320,Shri Shankaracharya College of Engineering and Technology,Shri Shankaracharya College of Engineering and Technology,100,100
6562,Suffolk University,Suffolk University,100,100
9238,Suffolk University,University of Suffolk,51,92
115,Toyota InfoTechnology Center,"Toyota InfoTechnology Center, Inc.",90,93
2428,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
3155,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
5636,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
6034,Loughborough University,Loughborugh University,98,98
6404,Loughborough University,Loughborough University,100,100
8418,Loughborough University,Loughboroughx University,98,98
9469,Loughborough University,University of Loughborough,49,94
